"Owner","Property Address","Control Map","Group","Parcel","Special Interest","Parcel ID","Subdivision","Lot","Class","Sale Date"
"SUMNER COUNTY BOARD OF EDUCATION","HAWKINS DRIVE  0","113M","E","022.01","000","113M E 02201 000","SCHAMBERGER & ALLEN","IST","County","5/3/2016"
"SUMNER COUNTY BOARD OF EDUCATION","MAIN STREET EAST  695","113M","E","028.00","000","113M E 02800 000","","","County","10/26/1960"
"SUMNER COUNTY BOARD OF EDUCATION","CROSSBOW  0","145","","032.10","000","145    03210 000","","","County","11/9/2007"
"SUMNER COUNTY BOARD OF EDUCATION","MEADOWS ROAD  0","077","","097.01","000","077    09701 000","","","County","12/4/2014"
"SUMNER COUNTY BOARD OF EDUCATION","ALBERT GALLATIN AVENUE  0","113","","056.00","000","113    05600 000","ANDERSON PROP","","County","1/24/2020"
"SUMNER COUNTY BOARD OF EDUCATION ATTN: DIRECTOR","TULIP POPLAR DRIVE  0","126I","A","001.03","000","126I A 00103 000","","","County","5/1/2020"
"SUMNER COUNTY COURTHOUSE","PUBLIC SQUARE  0","126C","F","015.00","000","126C F 01500 000","","","County","11/4/1914"
"SUMNER COUNTY HEALTH DEPT","WEST LONGVIEW DRIVE  214","039","","047.08","000","039    04708 000","PORTLAND HEALTH DEPT","1","County","10/30/2007"
"SUMNER COUNTY HIGHWAY GARAGE","109N HWY OLD  1051","113","","040.00","000","113    04000 000","","","County","5/8/1957"
"SUMNER COUNTY HUMANE SOCIETY","VOLUNTEER DRIVE  16","160M","A","003.01","000","160M A 00301 000","HUDDLESTON PROPERTY","1","County","11/7/1984"
"SUMNER COUNTY HWY DEPT","31E HWY OLD  0","044F","B","005.00","000","044F B 00500 000","","","County",""
"SUMNER COUNTY MUSEUM INC","FRANKLIN STREET EAST  311","113N","E","018.00","000","113N E 01800 000","","","County","11/30/2016"
"SUMNER COUNTY MUSEUM INC","MAIN STREET EAST  326","113N","E","023.00","000","113N E 02300 000","","","County","3/23/2015"
"SUMNER COUNTY MUSEUM INC","MAIN STREET EAST  332","113N","E","024.00","000","113N E 02400 000","","","County","1/26/2018"
"SUMNER COUNTY PUBLIC LIBRARY","HARTSVILLE PIKE  658","113M","E","027.00","000","113M E 02700 000","","","County","4/17/1965"
"SUMNER COUNTY REGIONAL AIRPORT AUTHORITY","AIRPORT ROAD  901","127","","053.00","000","127    05300 000","","","County","9/30/2008"
"SUMNER COUNTY REGIONAL AIRPORT AUTHORITY","AIRPORT ROAD  1001","127","","064.06","000","127    06406 000","","","County","3/31/2016"
"SUMNER COUNTY REGIONAL AIRPORT AUTHORITY","NEWTON LANE  0","134","","010.01","000","134    01001 000","","","County","3/2/2016"
"SUMNER COUNTY REGIONAL AIRPORT AUTHORITY","STEAM PLANT ROAD  0","134","","010.05","000","134    01005 000","","","County","3/2/2016"
"SUMNER COUNTY REGIONAL AIRPORT AUTHORITY","AIRPORT ROAD  1001","127","","052.00","000","127    05200 000","","","County","4/15/2020"
"SUMNER COUNTY REGIONAL AIRPORT AUTHORITY","ALBRIGHT LANE  0","134","","012.02","000","134    01202 000","WOODED ACRES RE-RECO","13-13","County","4/10/2014"
"SUMNER COUNTY REGIONAL AIRPORT AUTHORITY","NEWTON LANE  365","134","","013.00","000","134    01300 000","WOODED ACRES RE-REC-","17-17","County","4/10/2014"
"SUMNER COUNTY REGIONAL AIRPORT AUTHORITY","NEWTON LANE  0","134","","013.01","000","134    01301 000","WOODED ACRES-RE-RECO","16","County","4/10/2014"
"SUMNER COUNTY RESOURCE AUTHORITY","BLACKEY BANDY ROAD  168","030","","070.00","000","030    07000 000","","","County","1/31/1991"
"SUMNER COUNTY RESOURCE AUTHORITY OF","RAPRAHANNOCK WIRE DR  0","127","","064.01","000","127    06401 000","RESOURCE AUTHORITY OF SUMNER CO.","","County","4/20/2009"
"SUMNER COUNTY TENNESSEE","DUNN STREET  114","163D","C","014.01","000","163D C 01401 000","HENDERSONVILLE UTILITY AT DUNN STREET","1","County","2/19/2009"
"SUMNER COUNTY TENNESSEE","BLACKEY BANDY ROAD  164","030","","068.00","000","030    06800 000","","","County","1/7/2025"
"SUMNER COUNTY TENNESSEE","25W HWY  2268","094","","025.00","000","094    02500 000","","","County","3/15/2022"
"SUMNER COUNTY TENNESSEE","25W HWY  2265","094","","043.00","000","094    04300 000","","","County","3/17/2022"
"SUMNER COUNTY TENNESSEE","25W HWY  2315","094","","044.00","000","094    04400 000","","","County","1/12/2017"
"SUMNER COUNTY TENNESSEE","AIRPORT ROAD  255","112","","016.12","000","112    01612 000","INDUSTRIAL PARK FOR HODGES & SUMNER CO","1","County","6/1/2015"
"SUMNER COUNTY TENNESSEE","MAIN STREET EAST  0","126C","K","020.00","000","126C K 02000 000","","","County","3/6/2009"
"SUMNER COUNTY TENNESSEE","MAIN STREET EAST  123","126C","K","021.00","000","126C K 02100 000","","","County","3/6/2009"
"SUMNER COUNTY TENNESSEE","CAIRO ROAD  1570","127","","052.03","000","127    05203 000","SUMNER EMA MINOR PLAT","1","County","4/25/2022"
"SUMNER COUNTY TENNESSEE","LOWER STATION CAMP CK  0","137","","006.02","000","137    00602 000","","","County","9/15/2009"
"SUMNER COUNTY TENNESSEE & SUMN BOARD OF","UPPER STATION CAMP CK  475","115","","044.00","000","115    04400 000","LIBERTY CREEK CAMPUS","","County","6/15/2015"
"SUMNER COUNTY TENNESSEE OFFICE OF LAW DIRECTOR C/O","LOWER STATION CAMP CK  0","137","","006.03","000","137    00603 000","","","County","3/25/2012"
"SUMNER COUNTY TENNESSEE OFFICE OF LAW DIRECTOR C/O","LOWER STATION CAMP CK  0","137","","006.04","000","137    00604 000","","","County","3/25/2012"
"SUMNER COUNTY TN","25W HWY  2320","094","","014.00","000","094    01400 000","","","County","6/19/2019"
"SUMNER COUNTY TN","AIRPORT RD  271","112","","016.10","000","112    01610 000","INDUSTRIAL PARK FOR HODGES & SUMNER CO","2","County","10/31/2018"
"SUMNER COUNTY TN","109N HWY  1043","113G","A","011.00","000","113G A 01100 000","","","County","8/26/2014"
"SUMNER COUNTY TN","109N HWY  0","113G","A","012.00","000","113G A 01200 000","","","County","8/26/2014"
"SUMNER COUNTY TN","NORTH BOYERS AVENUE  120","126C","F","007.00","000","126C F 00700 000","SUMCO PARKING GARAGE RESUB","1","County","4/7/2021"
"SUMNER COUNTY TN","MAIN STREET EAST  155","126C","K","017.00","000","126C K 01700 000","SUMNER COUNTY COURTHOUSE","","County","10/14/2019"
"SUMNER COUNTY TN","LOWER STATION CAMP CK RD  0","137","","006.06","000","137    00606 000","","","County","10/23/2009"
"SUMNER COUNTY TN AND THE SUMNER CO HWY COMMISSION","ODOMS BEND ROAD  0","149","","008.00","000","149    00800 000","","","County","10/23/1987"
"SUMNER COUNTY, TN SUMNER COUNTY BOARD OF EDUCATION","HUNTERS LANE  0","116","","042.03","000","116    04203 000","","","County","6/13/2015"
"SUMNER PREVENTION COALITION INC","WINCHESTER STREET  139","126F","C","030.00","000","126F C 03000 000","","","County","8/28/2025"
